"theme","fundersTop10","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"child","The Wellcome Trust",2010,72,74482155,32168257,1034474.375
"child","The Wellcome Trust",2011,70,20200634,2495162,288580.485714286
"child","The Wellcome Trust",2012,65,50129082,13526338,771216.646153846
"child","The Wellcome Trust",2013,81,28860137,5020089,356297.987654321
"child","The Wellcome Trust",2014,94,34402289,3400000,365981.79787234
"child","The Wellcome Trust",2015,100,53176010,16433919,531760.1
"child","The Wellcome Trust",2016,105,45548331,7520000,433793.628571429
"child","The Wellcome Trust",2017,45,14963179,2553243,332515.088888889
"community","Comic Relief",2015,16,3153589,1154150,197099.3125
"community","Comic Relief",2016,14,2084048,1126000,148860.571428571
"community","Comic Relief",2017,5,3115827,1150746,623165.4
"community","Esmée Fairbairn Foundation",2008,21,1934659.81,875000,92126.6576190476
"community","Esmée Fairbairn Foundation",2009,16,1714411,729413,107150.6875
"community","Esmée Fairbairn Foundation",2010,23,1344274,160000,58446.6956521739
"community","Esmée Fairbairn Foundation",2011,33,3044720,5e+05,92264.2424242424
"community","Esmée Fairbairn Foundation",2012,35,3837657,757000,109647.342857143
"community","Esmée Fairbairn Foundation",2013,27,3195332,828442,118345.62962963
"community","Esmée Fairbairn Foundation",2014,40,3659202,281083,91480.05
"community","Esmée Fairbairn Foundation",2015,38,5148374,1e+06,135483.526315789
"community","Esmée Fairbairn Foundation",2016,42,5569116,545000,132598
"community","Esmée Fairbairn Foundation",2017,27,2621666,454835,97098.7407407407
"community","Ministry of Justice",2012,6,954307,5e+05,159051.166666667
"community","Northern Rock Foundation",2004,46,2588981,750000,56282.1956521739
"community","Northern Rock Foundation",2005,32,1257224,250000,39288.25
"community","Northern Rock Foundation",2006,35,1666614,250000,47617.5428571429
"community","Northern Rock Foundation",2007,18,1031999,348381,57333.2777777778
"community","Northern Rock Foundation",2008,3,159351,90000,53117
"community","Northern Rock Foundation",2009,7,584995,125002,83570.7142857143
"community","Northern Rock Foundation",2010,9,605796,110273,67310.6666666667
"community","Northern Rock Foundation",2011,4,290479,175000,72619.75
"community","Northern Rock Foundation",2012,2,49996.6,47566.6,24998.3
"community","Northern Rock Foundation",2013,8,480892,132080,60111.5
"community","Northern Rock Foundation",2014,3,111508,70000,37169.3333333333
"community","others",2004,8,126950,56250,15868.75
"community","others",2005,7,15360,5000,2194.28571428571
"community","others",2006,10,101500,30000,10150
"community","others",2007,17,94665,18915,5568.52941176471
"community","others",2008,12,72350,30000,6029.16666666667
"community","others",2009,19,640675,3e+05,33719.7368421053
"community","others",2010,64,1518772,341000,23730.8125
"community","others",2011,64,1989879.32,270000,31091.864375
"community","others",2012,107,3148298,436850,29423.3457943925
"community","others",2013,385,17532480.03,1565548,45538.9091688312
"community","others",2014,655,15934843.99,233114,24328.0060916031
"community","others",2015,696,17746635.63,499148,25498.0396982759
"community","others",2016,965,26016347.58,475000,26959.9456787565
"community","others",2017,1925,18302201.79,9e+05,9507.63729350649
"community","Paul Hamlyn Foundation",2006,14,413153,98000,29510.9285714286
"community","Paul Hamlyn Foundation",2007,16,747290,90000,46705.625
"community","Paul Hamlyn Foundation",2008,22,1952497,3e+05,88749.8636363636
"community","Paul Hamlyn Foundation",2009,15,1288224,182261,85881.6
